,user,text,favorite_count,retweet_count,created_at
123,elonmusk,"@KanekoaTheGreat Sure yeah, yeah, definitely not influenced by the state …",66966,7402,2023-04-13 03:50:27+00:00
124,elonmusk,@zerohedge Publicly funded PBS joins publicly funded NPR in leaving Twitter in a huff after being labeled “Publicly Funded” 🤣,197453,23932,2023-04-13 03:48:19+00:00
125,elonmusk,@tjdharamsi @ehikian 🤣,690,43,2023-04-13 02:55:08+00:00
126,elonmusk,@ehikian Maybe we should use something else or make our own,2620,213,2023-04-13 02:54:54+00:00
127,elonmusk,@ggreenwald @ISDglobal This cast of characters show up a lot,12266,1190,2023-04-13 02:44:38+00:00
128,elonmusk,@mezaoptimizer Interesting,30071,1383,2023-04-13 02:40:37+00:00
129,elonmusk,@MarioNawfal Yup,3321,200,2023-04-13 01:24:10+00:00
130,elonmusk,@BillyM2k @stillgray lol,3309,166,2023-04-13 01:22:52+00:00
131,elonmusk,@alx Good ideas,3326,214,2023-04-13 01:18:54+00:00
132,elonmusk,@TheBabylonBee He is entertaining in his own way lol,11523,640,2023-04-13 01:03:19+00:00
133,elonmusk,@dogeofficialceo 💯,8944,555,2023-04-13 00:41:14+00:00
134,elonmusk,"@JoshSeefried @BillyM2k We’re working on it. Twitter has a surprisingly complex codebase, so progress is slower than we’d like.",2079,140,2023-04-13 00:36:33+00:00
135,elonmusk,"@BillyM2k We’re firing up creator subscriptions bigtime! Works for longform text, pics or video.",38534,1463,2023-04-13 00:30:33+00:00
136,elonmusk,@cb_doge Facts,18854,804,2023-04-13 00:28:49+00:00
137,elonmusk,"@TimSweeneyEpic @ITIFdc This is why paid verification is essential. Won’t stop people using AI for impersonation &amp; scams, but it increases cost &amp; difficulty of doing so by several orders of magnitude.",1454,115,2023-04-13 00:15:45+00:00
138,elonmusk,"NPR literally says Federal funding is *essential* on their website right now at https://t.co/QA8TUZxmNO

What have you got against the truth @NPR? https://t.co/3W0X0MsZYW",89432,10760,2023-04-13 00:06:22+00:00
139,elonmusk,"@BillyM2k @ZubyMusic Currently stuck in Apple App Store approval process, so button works on web &amp; Android, but not yet iOS",3705,254,2023-04-12 22:29:29+00:00
140,elonmusk,@alx 🤣,10439,474,2023-04-12 22:02:55+00:00
141,elonmusk,@cb_doge @dvorahfr I will pay a million Dogecoin for proof of this mine’s existence!,53289,4439,2023-04-12 22:02:19+00:00
